Id;ActivityDate;TotalSteps;TotalDistance;TrackerDistance;LoggedActivitiesDistance;VeryActiveDistance;ModeratelyActiveDistance;LightActiveDistance;SedentaryActiveDistance;VeryActiveMinutes;FairlyActiveMinutes;LightlyActiveMinutes;SedentaryMinutes;Calories
1503960366;3/25/2016;11004;7,11E+13;7,11E+13;0;2,57E+13;4,6E+13;4,07E+14;0;33;12;205;804;1819
1503960366;3/26/2016;17609;1,155E+14;1,155E+14;0;6,92E+14;7,3E+14;3,91E+14;0;89;17;274;588;2154
1503960366;3/27/2016;12736;8,53E+14;8,53E+14;0;4,66E+14;1,6E+14;3,71E+14;0;56;5;268;605;1944
1503960366;3/28/2016;13231;8,93E+14;8,93E+14;0;3,19E+14;7,9E+14;4,95E+14;0;39;20;224;1080;1932
1503960366;3/29/2016;12041;7,85E+14;7,85E+14;0;2,16E+14;1,09E+13;4,61E+13;0;28;28;243;763;1886
1503960366;3/30/2016;10970;7,16E+14;7,16E+14;0;2,36E+14;5,1E+14;4,29E+14;0;30;13;223;1174;1820
1503960366;3/31/2016;12256;7,86E+13;7,86E+13;0;2,29E+14;4,9E+14;5,04E+14;0;33;12;239;820;1889
1503960366;4/1/2016;12262;7,87E+14;7,87E+14;0;3,32E+13;8,3E+14;3,64E+14;0;47;21;200;866;1868
1503960366;4/2/2016;11248;725;725;0;3;4,5E+14;3,74E+14;0;40;11;244;636;1843
1503960366;4/3/2016;10016;6,37E+14;6,37E+14;0;9,1E+14;1,28E+14;4,18E+14;0;15;30;314;655;1850
1503960366;4/4/2016;14557;9,8E+14;9,8E+14;0;3,39E+14;7E+14;5,69E+14;0;43;18;285;757;2030
1503960366;4/5/2016;14844;9,73E+14;9,73E+14;0;2,94E+14;7,6E+14;6,04E+14;0;36;18;341;736;2083
1503960366;4/6/2016;11974;7,67E+14;7,67E+14;0;2,04E+14;4,8E+14;5,15E+14;0;27;12;228;1173;1861
1503960366;4/7/2016;10198;6,44E+14;6,44E+14;0;1,2E+14;7,9E+14;4,45E+14;0;17;20;195;1208;1755
1503960366;4/8/2016;12521;7,94E+14;7,94E+14;0;3,31E+14;9E+14;3,74E+14;0;46;22;212;1160;1895
1503960366;4/9/2016;12432;8,1E+14;8,1E+14;0;2,59E+14;5,9E+14;4,92E+14;0;32;15;248;738;1883
1503960366;4/10/2016;10057;6,98E+14;6,98E+14;0;4;4,9E+14;2,48E+14;0;44;13;168;737;1755
1503960366;4/11/2016;10990;7,26E+14;7,26E+14;0;2,04E+14;5,7E+14;4,65E+14;0;26;14;216;855;1811
1503960366;4/12/2016;224;1,4E+14;1,4E+14;0;0;0;1,3E+14;0;0;0;9;32;50
1624580081;3/25/2016;1810;1,18E+14;1,18E+14;0;0;0;1,13E+14;1E+15;0;0;121;1319;1373
1624580081;3/26/2016;815;5,3E+14;5,3E+14;0;0;0;5,3E+14;0;0;0;47;1393;1264
1624580081;3/27/2016;1985;1,29E+14;1,29E+14;0;0;0;1,28E+14;1E+15;0;0;112;1328;1350
1624580081;3/28/2016;1905;1,24E+14;1,24E+14;0;0;0;1,24E+14;0;0;0;95;1345;1342
1624580081;3/29/2016;1552;1,01E+14;1,01E+14;0;0;0;1;0;0;0;66;1374;1300
1624580081;3/30/2016;1675;1,09E+13;1,09E+13;0;0;0;1,09E+13;0;0;0;84;1356;1313
1624580081;3/31/2016;4506;2,93E+13;2,93E+13;0;5,1E+14;2,7E+14;2,15E+14;1E+15;7;4;144;1285;1498
1624580081;4/1/2016;9218;5,99E+14;5,99E+14;0;0;0;5,97E+14;1E+15;0;0;221;1219;1541
1624580081;4/2/2016;1556;1,01E+14;1,01E+14;0;0;0;1,01E+14;1E+15;0;0;88;1352;1327
1624580081;4/3/2016;2910;1,89E+14;1,89E+14;0;0;0;1,88E+14;1E+15;0;0;157;1283;1452
1624580081;4/4/2016;18464;12;12;0;0;0;12;0;0;0;270;1170;1574
